TaskID,TaskName,ParentID,ChildrenIDs,OutlineLevel,IsSummary
0,TA AM4 rev110624,,,0,True
1,TURN AROUND PABRIK 4 2024,,,1,True
2,AREA : AMMONIA,,,2,True
3,SHUT DOWN DAN PENGAMANAN,,,3,True
4,01 Shut Down Dan Pengamanan,,,4,False
5,SUB_AREA : REFORMING,,,3,True
6,CLASS : FURNACE,,,4,True
7,D1-H-201-K4 [Primary Reformer CELL A-B],,,5,True
8,"(200000360104 ) [Sisi Tube Catalyst] Buka Man Hole, Check Internal, Seat Gasket Tube, PT, Radiography Random, Circum_Measurement Tube Catalyst 100 %, ∆ P Test total 100 %, Ganti Catalyst (make up) tunggu hasil ∆ P Test, Leo Scan, Ganti Tube Catalyst 6 Ea",,,6,True
9,CIRCUM_MEASUREMENT TUBE CATALYST 100 %,,,7,True
10,01 Buka Man Hole di Ruang Bakar,,,8,False
11,02 Lepas Fire Brick di Man Hole,,,8,False
12,03 Pasang Blower di Ruang Bakar,,,8,False
13,04 Cooling Down di Ruang Bakar,,,8,False
14,05 Pasang Scaffold di Ruang Bakar  untuk Leo Scan/ Circum_Measurement Tube Catalyst 100 % Tube Catalyst ( NA),,,8,False
15,06 Leo Scan/ Circum_Measurement Tube Catalyst 100 % Tube Catalyst,,,8,False
16,07 PT Tube Catalyst,,,8,False
17,08 RT Tube Catalyst Random,,,8,False
18,09 Lepas Scaffold di Ruang Bakar setelah Leo Scan/ Circum_Measurement Tube Catalyst 100 % Tube Catalyst ( NA ),,,8,False
19,10 Repair Ruang Bakar tunggu (Rec.Istek,,,8,False
20,11 Repair Ruang Bakar tunggu (Rec.Istek,,,8,False
21,12 Final Inspect,,,8,False
22,13 Cleaning dg Vacum Cleaner,,,8,False
23,14 Lepas Blower,,,8,False
24,15 BAPM,,,8,False
25,16 BAPM,,,8,False
26,17 BAPM,,,8,False
27,18 Pasang Fire Brick di Man Hole,,,8,False
28,19 Pasang Man Hole di Ruang Bakar setelah pekerjaan internal selesai,,,8,False
29,GANTI TUBE CATALYST 2 TUBE (sesuai hasil delta P test) TUNGGU REC. ISTEK,,,7,True
30,20 Buka Atap untuk pengangkatan Tube,,,8,False
31,21 Buka Atap untuk pengangkatan Tube,,,8,False
32,22 Buka Atap untuk pengangkatan Tube,,,8,False
33,23 Lepas Isolasi In/ Outlet Hairpin,,,8,False
34,24 Marking u/ Pemotongan In/ Outlet Hairpin ,,,8,False
35,25 Potong dg. GerindaInlet Hairpin ,,,8,False
36,26 Potong dg. Gerinda Outlet Hairpin ,,,8,False
37,27 Cabut Tube Catalys ,,,8,False
38,28 Cabut Tube Catalyst ,,,8,False
39,29 Gerinda&Bersihkan bekas Potongan Inlet Hairpin ,,,8,False
40,30 PT.Ujung&Permukaan Inlet Hairpin ,,,8,False
41,31 Bevelling Outlet Hairpin ,,,8,False
42,32 PT. Bevel Outlet Hairpin ,,,8,False
43,PASANG TUBE CATALYST,,,8,True
44,33 Masukan Tube Catalyst ,,,9,False
45,34 Masukan Tube Catalyst ,,,9,False
46,PENGELASAN INLET TUBE CATALYST (2 Tube),,,8,True
47,35 Fit_Up Outlet Hairpin ,,,9,False
48,36 Root&Capping Outnlet Hairpin ,,,9,False
49,37 RT Outlet Hairpin ,,,9,False
